-1.02,0.00,-0.02
-0.99,0.01,-0.04
-1.00,0.02,-0.01
-1.02,-0.03,-0.03
-0.95,-0.07,-0.06
-0.95,-0.12,-0.04
-0.93,-0.12,-0.03
-0.87,-0.15,-0.07
-0.90,-0.13,-0.07
-0.87,-0.10,-0.07
-0.93,-0.09,-0.07
-0.95,-0.17,-0.07
-0.95,-0.26,-0.04
-0.96,-0.32,0.00
-0.93,-0.31,-0.00
-0.96,-0.31,-0.03
-0.94,-0.33,-0.08
-0.96,-0.34,-0.09
-0.96,-0.33,-0.09
-0.96,-0.34,-0.10
-0.96,-0.41,-0.14
-0.99,-0.39,-0.12
-0.93,-0.42,-0.15
-0.86,-0.49,-0.15
-0.88,-0.54,-0.11
-0.85,-0.55,-0.09
-0.86,-0.56,-0.06
-0.93,-0.53,-0.04
-0.92,-0.55,-0.04
-0.92,-0.54,-0.03
-0.97,-0.43,-0.06
-0.99,-0.32,-0.11
-0.97,-0.26,-0.13
-0.96,-0.27,-0.12
-0.94,-0.28,-0.11
-0.89,-0.33,-0.10
-0.87,-0.35,-0.08
-0.88,-0.38,-0.03
-0.90,-0.31,-0.06
-0.91,-0.30,-0.10
-0.91,-0.34,-0.07
-0.93,-0.32,-0.08
-0.97,-0.26,-0.07
-0.96,-0.29,-0.07
-0.94,-0.24,-0.07
-0.92,-0.23,-0.09
-0.86,-0.23,-0.10
-0.88,-0.14,-0.12
-0.91,-0.10,-0.13
-0.95,-0.10,-0.09
-0.97,-0.12,-0.09
-0.95,-0.10,-0.10
-0.88,-0.07,-0.12
-0.90,0.01,-0.17
-0.90,0.02,-0.17
-0.93,0.06,-0.17
-0.96,0.09,-0.18
-0.98,0.09,-0.18
-1.01,0.09,-0.16
-1.04,0.13,-0.19
-1.01,0.12,-0.17
-0.97,0.15,-0.17
-0.97,0.17,-0.20
-0.95,0.21,-0.23
-0.94,0.20,-0.24
-0.94,0.18,-0.23
-0.95,0.16,-0.23
-0.96,0.13,-0.22
-0.98,0.12,-0.21
-0.93,0.10,-0.22
-0.95,0.06,-0.22
-0.95,0.05,-0.19
-0.95,0.03,-0.15
-0.93,0.02,-0.14
-0.91,-0.01,-0.13
-0.94,0.03,-0.16
-0.96,0.02,-0.16
-0.95,0.01,-0.19
-0.94,0.01,-0.14
-0.96,0.04,-0.10
-0.96,0.08,-0.15
-0.96,-0.00,-0.19
-0.97,-0.04,-0.14
-0.95,-0.12,-0.04
-0.91,-0.15,-0.07
-0.91,-0.19,-0.12
-0.92,-0.17,-0.16
-0.89,-0.23,-0.10
-0.90,-0.24,-0.10
-0.90,-0.25,-0.13
-0.89,-0.28,-0.12
-0.88,-0.31,-0.11
-0.91,-0.38,-0.09
-0.94,-0.36,-0.06
-0.95,-0.36,-0.06
-0.93,-0.37,-0.13
-0.98,-0.40,-0.13
-1.00,-0.38,-0.11
-0.98,-0.35,-0.08
-0.98,-0.30,-0.09
-0.97,-0.33,-0.15
-0.95,-0.34,-0.17
-0.94,-0.37,-0.15
-0.92,-0.41,-0.15
-0.91,-0.47,-0.11
-0.91,-0.53,-0.08
-0.91,-0.52,-0.08
-0.92,-0.52,-0.06
-0.93,-0.52,-0.05
-0.96,-0.46,-0.08
-0.98,-0.39,-0.08
-0.96,-0.34,-0.11
-0.91,-0.38,-0.09
-0.88,-0.42,-0.09
-0.88,-0.39,-0.09
-0.93,-0.26,-0.12
-0.95,-0.25,-0.11
-0.93,-0.25,-0.09
-0.95,-0.23,-0.09
-0.94,-0.24,-0.09
-0.91,-0.26,-0.07
-0.91,-0.23,-0.06
-0.96,-0.19,-0.06
-0.95,-0.18,-0.08
-0.93,-0.20,-0.09
-0.93,-0.18,-0.10
-0.91,-0.17,-0.12
-0.91,-0.20,-0.10
-0.90,-0.20,-0.10
-0.95,-0.15,-0.11
-0.96,-0.18,-0.09
-1.00,-0.19,-0.04
-1.03,-0.16,-0.06
-0.99,-0.16,-0.08
-0.93,-0.17,-0.12
-0.95,-0.13,-0.10
-0.95,-0.11,-0.10
-0.96,-0.08,-0.09
-0.93,-0.08,-0.09
-0.93,-0.01,-0.13
-0.94,-0.01,-0.15
-0.96,-0.05,-0.09
-0.98,-0.02,-0.07
-0.98,0.00,-0.08
-0.95,0.05,-0.14
-0.92,0.04,-0.17
-0.94,0.04,-0.15
-0.98,0.07,-0.14
-0.97,0.10,-0.15
-0.97,0.10,-0.13
-0.94,0.08,-0.16
-0.94,0.06,-0.16
-0.95,0.01,-0.16
-0.97,-0.01,-0.13
-0.96,-0.05,-0.10
-0.97,-0.06,-0.10
-0.97,-0.08,-0.10
-0.97,-0.09,-0.12
-0.98,-0.14,-0.12
-0.97,-0.15,-0.07
-0.96,-0.14,-0.07
-0.98,-0.14,-0.09
-0.98,-0.15,-0.09
-0.95,-0.15,-0.09
-0.94,-0.14,-0.11
-0.95,-0.14,-0.11
-0.96,-0.15,-0.10
-0.96,-0.17,-0.09
-0.97,-0.18,-0.10
-0.96,-0.19,-0.11
-0.94,-0.22,-0.05
-0.92,-0.19,-0.03
-0.92,-0.15,-0.11
-0.90,-0.22,-0.14
-0.94,-0.28,-0.09
-0.93,-0.28,-0.05
-0.88,-0.32,-0.07
-0.88,-0.35,-0.12
