0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.00,0.00,0.00
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.02,0.02,0.02
0.01,0.01,0.01
0.01,0.01,0.01
0.02,0.02,0.02
0.02,0.02,0.02
0.02,0.02,0.02
0.01,0.01,0.01
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.96,-0.96,-0.96
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.94,-0.94,-0.94
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.94,-0.94,-0.94
-0.94,-0.94,-0.94
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.96,-0.96,-0.96
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.94,-0.94,-0.94
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.94,-0.94,-0.94
-0.95,-0.95,-0.95
-0.96,-0.96,-0.96
-0.96,-0.96,-0.96
-0.94,-0.94,-0.94
-0.94,-0.94,-0.94
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.95,-0.95,-0.95
-0.96,-0.96,-0.96
